id,word,language
1,anal,en
2,anus,en
3,arse,en
4,ass,en
5,balls,en
6,ballsack,en
7,bastard,en
8,biatch,en
9,bitch,en
10,bloody,en
11,blow job,en
12,blowjob,en
13,bollock,en
14,bollok,en
15,boner,en
16,boob,en
17,bugger,en
18,bum,en
19,butt,en
20,buttplug,en
21,clitoris,en
22,cock,en
23,coon,en
24,crap,en
25,cunt,en
26,damn,en
27,dick,en
28,dildo,en
29,dyke,en
30,f u c k,en
31,fag,en
32,feck,en
33,felching,en
34,fellate,en
35,fellatio,en
36,flange,en
37,fuck,en
38,fudge packer,en
39,fudgepacker,en
40,God damn,en
41,Goddamn,en
42,hell,en
43,homo,en
44,jerk,en
45,jizz,en
46,knob end,en
47,knobend,en
48,labia,en
49,lmao,en
50,lmfao,en
51,muff,en
52,nigga,en
53,nigger,en
54,omg,en
55,penis,en
56,piss,en
57,poop,en
58,prick,en
59,pube,en
60,pussy,en
61,queer,en
62,s hit,en
63,scrotum,en
64,sex,en
65,sh1t,en
66,shit,en
67,slut,en
68,smegma,en
69,spunk,en
70,tit,en
71,tosser,en
72,turd,en
73,twat,en
74,vagina,en
75,wank,en
76,whore,en
77,wtf,en
78,سكس,ar
79,طيز,ar
80,شرج,ar
81,لعق,ar
82,لحس,ar
83,مص,ar
84,تمص,ar
85,بيضان,ar
86,ثدي,ar
87,بز,ar
88,بزاز,ar
89,حلمة,ar
90,مفلقسة,ar
91,بظر,ar
92,كس,ar
93,فرج,ar
94,شهوة,ar
95,شاذ,ar
96,مبادل,ar
97,عاهرة,ar
98,جماع,ar
99,قضيب,ar
100,زب,ar
101,لوطي,ar
102,لواط,ar
103,سحاق,ar
104,سحاقية,ar
105,اغتصاب,ar
106,خنثي,ar
107,احتلام,ar
108,نيك,ar
109,متناك,ar
110,متناكة,ar
111,شرموطة,ar
112,عرص,ar
113,خول,ar
114,قحبة,ar
115,لبوة,ar
116,bordel,cs
117,buzna,cs
118,čumět,cs
119,čurák,cs
120,debil,cs
121,do piče,cs
122,do prdele,cs
123,dršťka,cs
124,držka,cs
125,flundra,cs
126,hajzl,cs
127,hovno,cs
128,chcanky,cs
129,chuj,cs
130,jebat,cs
131,kokot,cs
132,kokotina,cs
133,koňomrd,cs
134,kunda,cs
135,kurva,cs
136,mamrd,cs
137,mrdat,cs
138,mrdka,cs
139,mrdník,cs
140,oslošoust,cs
141,piča,cs
142,píčus,cs
143,píchat,cs
144,pizda,cs
145,prcat,cs
146,prdel,cs
147,prdelka,cs
148,sračka,cs
149,srát,cs
150,šoustat,cs
151,šulin,cs
152,vypíčenec,cs
153,zkurvit,cs
154,zkurvysyn,cs
155,zmrd,cs
156,žrát,cs
217,bøsserøv,da
218,fisse,da
219,fissehår,da
220,hestepik,da
221,kussekryller,da
222,lort,da
223,luder,da
224,pik,da
225,pikhår,da
226,pikslugeri,da
227,piksutteri,da
228,pis,da
229,røv,da
230,røvhul,da
231,røvskæg,da
232,røvspræke,da
237,analritter,de
238,arsch,de
239,arschficker,de
240,arschlecker,de
241,arschloch,de
242,bimbo,de
243,bratze,de
244,bumsen,de
245,bonze,de
246,dödel,de
247,fick,de
248,ficken,de
249,flittchen,de
250,fotze,de
251,fratze,de
252,hackfresse,de
253,hure,de
254,hurensohn,de
255,ische,de
256,kackbratze,de
257,kacke,de
258,kacken,de
259,kackwurst,de
260,kampflesbe,de
261,kanake,de
262,kimme,de
263,lümmel,de
264,MILF,de
265,möpse,de
266,morgenlatte,de
267,möse,de
268,mufti,de
269,muschi,de
270,nackt,de
271,neger,de
272,nippel,de
273,nutte,de
274,onanieren,de
275,orgasmus,de
276,pimmel,de
277,pimpern,de
278,pinkeln,de
279,pissen,de
280,pisser,de
281,popel,de
282,poppen,de
283,porno,de
284,reudig,de
285,rosette,de
286,schabracke,de
287,schlampe,de
288,scheiße,de
289,scheisser,de
290,schiesser,de
291,schnackeln,de
292,schwanzlutscher,de
293,schwuchtel,de
294,tittchen,de
295,titten,de
296,vögeln,de
297,vollpfosten,de
298,wichse,de
299,wichsen,de
300,wichser,de
302,bugren,eo
303,bugri,eo
304,bugru,eo
305,ĉiesulino,eo
306,ĉiesulo,eo
307,diofek,eo
308,diofeka,eo
309,fek,eo
310,feken,eo
311,fekfikanto,eo
312,feklekulo,eo
313,fekulo,eo
314,fik,eo
315,fikado,eo
316,fikema,eo
317,fikfek,eo
318,fiki,eo
319,fikiĝi,eo
320,fikiĝu,eo
321,fikilo,eo
322,fikklaŭno,eo
323,fikota,eo
324,fiku,eo
325,forfiki,eo
326,forfikiĝu,eo
327,forfiku,eo
328,forfurzu,eo
329,forpisi,eo
330,forpisu,eo
331,furzulo,eo
332,kacen,eo
333,kaco,eo
334,kacsuĉulo,eo
335,kojono,eo
336,piĉen,eo
337,piĉo,eo
338,zamenfek,eo
339,Asesinato,es
340,asno,es
341,bastardo,es
342,Bollera,es
343,Cabron,es
344,Caca,es
345,Chupada,es
346,Chupapollas,es
347,Chupetón,es
348,concha,es
349,Concha de tu madre,es
350,Coño,es
351,Coprofagía,es
352,Culo,es
353,Drogas,es
354,Esperma,es
355,Fiesta de salchichas,es
356,Follador,es
357,Follar,es
358,Gilipichis,es
359,Gilipollas,es
360,Hacer una paja,es
361,Haciendo el amor,es
362,Heroína,es
363,Hija de puta,es
364,Hijaputa,es
365,Hijo de puta,es
366,Hijoputa,es
367,Idiota,es
368,Imbécil,es
369,infierno,es
370,Jilipollas,es
371,Kapullo,es
372,Lameculos,es
373,Maciza,es
374,Macizorra,es
375,maldito,es
376,Mamada,es
377,Marica,es
378,Maricón,es
379,Mariconazo,es
380,martillo,es
381,Mierda,es
382,Nazi,es
383,Orina,es
384,Pedo,es
385,Pervertido,es
386,Pezón,es
387,Pinche,es
388,Prostituta,es
389,Puta,es
390,Racista,es
391,Ramera,es
392,Sádico,es
393,Semen,es
394,Sexo,es
395,Sexo oral,es
396,Soplagaitas,es
397,Soplapollas,es
398,Tetas grandes,es
399,Tía buena,es
400,Travesti,es
401,Trio,es
402,Verga,es
403,vete a la mierda,es
404,Vulva,es
407,آب کیر,fa
408,ارگاسم,fa
409,برهنه,fa
410,پورن,fa
411,پورنو,fa
412,تجاوز,fa
413,تخمی,fa
414,جق,fa
415,جقی,fa
416,جلق,fa
417,جنده,fa
418,چوچول,fa
419,حشر,fa
420,حشری,fa
421,داف,fa
422,دودول,fa
423,ساک زدن,fa
424,سکس,fa
425,سکس کردن,fa
426,سکسی,fa
427,سوپر,fa
428,شق کردن,fa
429,شهوت,fa
430,شهوتی,fa
431,شونبول,fa
432,فیلم سوپر,fa
433,کس,fa
434,کس دادن,fa
435,کس کردن,fa
436,کسکش,fa
437,کوس,fa
438,کون,fa
439,کون دادن,fa
440,کون کردن,fa
441,کونکش,fa
442,کونی,fa
443,کیر,fa
444,کیری,fa
445,لاپا,fa
446,لاپایی,fa
447,لاشی,fa
448,لخت,fa
449,لش,fa
450,منی,fa
451,هرزه,fa
452,alfred nussi,fi
453,bylsiä,fi
454,haahka,fi
455,haista paska,fi
456,haista vittu,fi
457,hatullinen,fi
458,helvetisti,fi
459,hevonkuusi,fi
460,hevonpaska,fi
461,hevonperse,fi
462,hevonvittu,fi
463,hevonvitunperse,fi
464,hitosti,fi
465,hitto,fi
466,huorata,fi
467,hässiä,fi
468,juosten kustu,fi
469,jutku,fi
470,jutsku,fi
471,jätkä,fi
472,kananpaska,fi
473,koiranpaska,fi
474,kuin esterin perseestä,fi
475,kulli,fi
476,kullinluikaus,fi
477,kuppainen,fi
478,kusaista,fi
479,kuseksia,fi
480,kusettaa,fi
481,kusi,fi
482,kusipää,fi
483,kusta,fi
484,kyrpiintynyt,fi
485,kyrpiintyä,fi
486,kyrpiä,fi
487,kyrpä,fi
488,kyrpänaama,fi
489,kyrvitys,fi
490,lahtari,fi
491,lutka,fi
492,molo,fi
493,molopää,fi
494,mulkero,fi
495,mulkku,fi
496,mulkvisti,fi
497,muna,fi
498,munapää,fi
499,munaton,fi
500,mutakuono,fi
501,mutiainen,fi
502,naida,fi
503,nainti,fi
504,narttu,fi
505,neekeri,fi
506,nekru,fi
507,nuolla persettä,fi
508,nussia,fi
509,nussija,fi
